in,location,createElement,cookie,label
real,real,real,real,feature_type
0.05675287486213832,0.21999207327791034,0.1723077113255544,0,"Malicious"
0.11350574972427664,0.3006688404397379,0.1723077113255544,0,"Malicious"
0.15807547557614646,0.40834953498505644,0.2545193827510763,0.9787441494878877,"Malicious"
0.11350574972427664,0.38531604254617835,0.22417750091875657,1.1075168029488525,"Malicious"
0.05675287486213832,0.35157021326409166,0.29274563305790663,0.5851664038745127,"Malicious"
0,0.21999207327791034,0.1723077113255544,0.4497716469449059,"Malicious"
0.1250901455568102,0.32179481892661776,0.3063891723442784,1.2177882973224776,"Malicious"
0.1179995130726457,0.24976746761538418,0.22417750091875657,0.764148536960205,"Malicious"
0.07383719253580628,0,0,0,"Malicious"
0.05675287486213832,0.21999207327791034,0.1723077113255544,0.4497716469449059,"Malicious"
0.1450775159358171,0.3926656871533228,0.36979441003932495,1.1267454315929395,"Malicious"
0.1179995130726457,0.24976746761538418,0.22417750091875657,0.764148536960205,"Malicious"
0.07383719253580628,0.27089344610226407,0,1.0444683967597128,"Malicious"
0.16038786962872226,0.24976746761538418,0.40013629187164473,0,"Malicious"
0.14438317536177617,0.16909070045355665,0.22417750091875657,0.4497716469449059,"Malicious"
0.10471461817330581,0.32179481892661776,0.33673105417659815,0,"Malicious"
0.08383087772530974,0.16909070045355665,0.22417750091875657,0.5851664038745127,"Malicious"
0.16413468307595847,0.46852530750171667,0.3926468176550476,1.1006622980912437,"Malicious"
0.07383719253580628,0.3006688404397379,0.1723077113255544,0.4497716469449059,"Malicious"
0.1179995130726457,0.3304442347772117,0.27604729051195875,0,"Malicious"
0,0.16909070045355665,0.22417750091875657,0,"Malicious"
0,0.2872800280827596,0.27604729051195875,0,"Malicious"
0.05675287486213832,0,0,0,"Malicious"
0.18008744320545744,0.5603441295023008,0.48468666264021343,1.213920183905111,"Malicious"
0.09092151020947425,0.3304442347772117,0.2545193827510763,0.4497716469449059,"Malicious"
0.09092151020947425,0.3304442347772117,0.2545193827510763,0,"Malicious"
0.09092151020947425,0.27089344610226407,0.1723077113255544,0,"Malicious"
0.11350574972427664,0.3119889199914952,0.1723077113255544,0,"Malicious"
0,0.24976746761538418,0.1723077113255544,0.5851664038745127,"Malicious"
0.09092151020947425,0.21999207327791034,0.1723077113255544,0.8298727842320303,"Malicious"
0.09642143205060867,0.27089344610226407,0,0,"Malicious"
0.07383719253580628,0,0.1723077113255544,0,"Malicious"
0.153662391384544,0.3119889199914952,0.37495730448342857,0.764148536960205,"Malicious"
0.09642143205060867,0,0,0,"Malicious"
0.12179893584697378,0.37714817044173227,0.2545193827510763,0.6643672594725885,"Malicious"
0.15461048751739664,0.3926656871533228,0.3843235488712418,0,"Malicious"
0.05675287486213832,0.27089344610226407,0,0.9181605500648988,"Malicious"
0.07383719253580628,0.32179481892661776,0.22417750091875657,0,"Malicious"
0.1179995130726457,0.24976746761538418,0.3179246204461228,0.8995432938898118,"Malicious"
0.16596125638381315,0.35157021326409166,0.43619333846444397,0,"Malicious"
0.08383087772530974,0.3119889199914952,0.3179246204461228,0.8298727842320303,"Malicious"
0.10091519539897771,0.21999207327791034,0.2545193827510763,0,"Malicious"
0,0.16909070045355665,0,0,"Malicious"
0.05675287486213832,0,0.22417750091875657,0.4497716469449059,"Malicious"
